,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
9583,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,72753,Pelhřimov,49.428914,15.22157,24.351629717594772
9584,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,72869,Pelhřimov,49.428138,15.219725,24.401840964818454
9585,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,107830396,Humpolec,49.541394,15.360692,29.194338482179035
9591,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047741,Jihlava,49.397998,15.585825,14.018883394287785
9592,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047750,Telč,49.182964,15.44864,12.290340310664357
9593,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047920,Jihlava,49.397335,15.583685,13.874387825920877
9594,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047792,Jihlava,49.398965,15.586577,14.138886349867766
9595,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047938,Jihlava,49.39907,15.590673,14.308345345818257
9599,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,566900,Třebíč,49.222974,15.867134,28.890949734571937
9610,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047946,Jihlava,49.386967,15.593135,13.307241939648222
10251,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61664553,Vlašim,49.705501,14.897609,27.356586210788667
10252,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61664537,Vlašim,49.696169,14.893379,27.64066923195573
10254,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61664545,Vlašim,49.703163,14.9008,27.11845562441224
10274,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61924032,Kutná Hora,49.942588,15.257586,27.519980267069126
